IDX,LABEL,SHORT Q,LONG Q_ENG,LONG Q_FRA,LONG Q_ITA,UNITS,SCALE,MINVAL,MAXVAL,REALIZATION,QUEST_TYPE,IDXMIN,IDXMAX,SUM50,PARENT,IMAGE
14,14,Mean value of porosity for 1999 eruption of Guagua Pichincha,Wright et al. [2007] measured the values of connected porosity (i.e. the volumetric part of the sample through which gases and/or liquids can freely flow) for 9 breadcrust bombs from the 1999 vulcanian eruption of Guagua Pichincha volcano. What is the mean value of connected porosity (in %) of the samples studied?,Wright et al. [2007] ont mesuré les valeurs de porosité connectée (c'est-à-dire la portion volumétrique de l'échantillon dans laquelle les gaz et/ou les liquides peuvent circuler librement) pour 9 bombes en croûte de pain issus de l'éruption vulcanien de 1999 du volcan Guagua Pichincha. Quelle est la valeur moyenne de la porosité connectée (en %) des échantillons étudiés?,Wright et al. [2007] hanno misurato i valori della porosità connessa (cioè la porzione volumetrica del campione nella quale i gas e/o i liquidi possono fluire liberamente) per 9 bome a crosta di pane dell’eruzione vulcaniana del 1999 del vulcano Guagua Pichincha. Qual è il valore medio di porosità connessa (in %) dei campioni studiati?,%,uni,0,100,51,seed,0,0,0,-1,
1,1,"Next eruption, rhyolitic magma","Given the present state of Cotopaxi volcano and your knowledge of its past eruptive chronology, how much probability do you assign to the possibility that, for the next eruption at Cotopaxi, the magma involved would be totally or predominantly of rhyolitic composition?","Compte tenu de l'état actuel du volcan Cotopaxi et de votre connaissance de son histoire éruptive passée, quelle probabilité attribuez-vous à la possibilité que, pour la prochaine éruption au Cotopaxi, le magma impliqué soit entièrement ou principalement de composition rhyolitique?","Considerato lo stato attuale del vulcano Cotopaxi e la vostra conoscenza della sua storia eruttiva passata, quale probabilità assegnate alla possibilità che, per la prossima eruzione al Cotopaxi, il magma coinvolto sia totalmente o predominantemente di composizione riolitica?",%,uni,0,100,,target,1,2,100.0,-2,next_rhyo&and.png
2,2,"Next eruption, andesitic magma","Given the present state of Cotopaxi volcano and your knowledge of its past eruptive chronology, how much probability do you assign to the possibility that, for the next eruption at Cotopaxi, the magma involved would be totally or predominantly of andesitic composition?","Compte tenu de l'état actuel du volcan Cotopaxi et de votre connaissance de son histoire éruptive passée, quelle probabilité attribuez-vous à la possibilité que, pour la prochaine éruption au Cotopaxi, le magma impliqué soit entièrement ou principalement de composition andésitique?","Considerato lo stato attuale del vulcano Cotopaxi e la vostra conoscenza della sua storia eruttiva passata, quale probabilità assegnate alla possibilità che, per la prossima eruzione al Cotopaxi, il magma coinvolto sia totalmente o predominantemente di composizione andesitica?",%,uni,0,100,,target,1,2,100.0,-2,
3,3,"Next eruption, rhyolitic magma, SubPlinian eruption","Given the present state of Cotopaxi volcano and your knowledge of its past eruptive chronology, how much probability do you assign to the possibility that at Cotopaxi, in case that the next eruption would involve totally or predominantly rhyolitic magma, the eruption would be SubPlinian (VEI 3-4)?","Compte tenu de l'état actuel du volcan Cotopaxi et de votre connaissance de son histoire éruptive passée, quelle probabilité attribuez-vous à la possibilité qu'au Cotopaxi, en cas où le magma impliqué pour la prochaine éruption soit entièrement ou principalement rhyolitique, l'éruption soit sub-plinienne (VEI 3- 4)?","Considerato lo stato attuale del vulcano Cotopaxi e la vostra conoscenza della sua storia eruttiva passata, quale probabilità assegnate alla possibilità che al Cotopaxi, nel caso la prossima eruzione coinvolga interamente o predominantemente magma riolitico, l’eruzione sia SubPliniana (VEI 3-4)?",%,uni,0,100,,target,3,5,100.0,1,next_rhyo_types.png
4,4,"Next eruption, rhyolitic magma, Plinian eruption","Given the present state of Cotopaxi volcano and your knowledge of its past eruptive chronology, how much probability do you assign to the possibility that at Cotopaxi, in case that the next eruption would involve totally or predominantly rhyolitic magma, the eruption would be similar to the F-2/F-4 ones (Plinian, VEI 4-5)?","Compte tenu de l'état actuel du volcan Cotopaxi et de votre connaissance de son histoire éruptive passée, quelle probabilité attribuez-vous à la possibilité qu'au Cotopaxi, en cas où le magma impliqué pour la prochaine éruption soit entièrement ou principalement rhyolitique, l'éruption soit similaire à celles F-2/F-4 (Pliniennes, VEI 4-5)?","Considerato lo stato attuale del vulcano Cotopaxi e la vostra conoscenza della sua storia eruttiva passata, quale probabilità assegnate alla possibilità che al Cotopaxi, nel caso la prossima eruzione coinvolga interamente o predominantemente magma riolitico, l’eruzione sia simile a quelle F-2/F-4 (Pliniane, VEI 4-5)?",%,uni,0,100,,target,3,5,100.0,1,
5,5,"Next eruption, rhyolitic magma, other eruption type","Given the present state of Cotopaxi volcano and your knowledge of its past eruptive chronology, how much probability do you assign to the possibility that at Cotopaxi, in case that the next eruption would involve totally or predominantly rhyolitic magma, the eruption would be of different type with respect to the previous ones?","Compte tenu de l'état actuel du volcan Cotopaxi et de votre connaissance de son histoire éruptive passée, quelle probabilité attribuez-vous à la possibilité qu'au Cotopaxi, en cas où le magma impliqué pour la prochaine éruption soit entièrement ou principalement rhyolitique, l'éruption soit d'une typologie différent des précédentes?","Considerato lo stato attuale del vulcano Cotopaxi e la vostra conoscenza della sua storia eruttiva passata, quale probabilità assegnate alla possibilità che al Cotopaxi, nel caso la prossima eruzione coinvolga interamente o predominantemente magma riolitico, l’eruzione sia di una tipologia differente rispetto alle precedenti?",%,uni,0,100,,target,3,5,100.0,1,
6,6,"Next eruption, andesitic magma, Hydrovolcanic/Continuos ash emission eruption","Given the present state of Cotopaxi volcano and your knowledge of its past eruptive chronology, how much probability do you assign to the possibility that at Cotopaxi, in case that the next eruption would involve totally or predominantly andesitic magma, the eruption would be similar to the AD 2015 one (Hydrovolcanic to long-lasting ash emission, VEI 1-2)?","Compte tenu de l'état actuel du volcan Cotopaxi et de votre connaissance de son histoire éruptive passée, quelle probabilité attribuez-vous à la possibilité qu'au Cotopaxi, en cas où le magma impliqué pour la prochaine éruption soit entièrement ou principalement andésitique, l'éruption soit similaire à celle de 2015 (Hydrovolcanique/émission de cendres de longue durée, VEI 1-2)?","Considerato lo stato attuale del vulcano Cotopaxi e la vostra conoscenza della sua storia eruttiva passata, quale probabilità assegnate alla possibilità che al Cotopaxi, nel caso la prossima eruzione coinvolga interamente o predominantemente magma andesitico, l’eruzione sia simile a quella del 2015 (Idrovulcanica/emissione di cenere di lunga durata, VEI 1-2)?",%,uni,0,100,,target,6,10,100.0,2,next_and_types.png
7,7,"Next eruption, andesitic magma, Violent Strombolian eruption","Given the present state of Cotopaxi volcano and your knowledge of its past eruptive chronology, how much probability do you assign to the possibility that at Cotopaxi, in case that the next eruption would involve totally or predominantly andesitic magma, the eruption would be similar to the ones in the XIX century (Violent Strombolian, VEI 2-3)?","Compte tenu de l'état actuel du volcan Cotopaxi et de votre connaissance de son histoire éruptive passée, quelle probabilité attribuez-vous à la possibilité qu'au Cotopaxi, en cas où le magma impliqué pour la prochaine éruption soit entièrement ou principalement andésitique, l'éruption soit similaire à celles du XIX siècle (Stromboliennes Violentes, VEI 2-3)?","Considerato lo stato attuale del vulcano Cotopaxi e la vostra conoscenza della sua storia eruttiva passata, quale probabilità assegnate alla possibilità che al Cotopaxi, nel caso la prossima eruzione coinvolga interamente o predominantemente magma andesitico, l’eruzione sia simile a quelle del XIX secolo (Stromboliane Violente, VEI 2-3)?",%,uni,0,100,,target,6,10,100.0,2,
8,8,"Next eruption, andesitic magma, SubPlinian eruption","Given the present state of Cotopaxi volcano and your knowledge of its past eruptive chronology, how much probability do you assign to the possibility that at Cotopaxi, in case that the next eruption would involve totally or predominantly andesitic magma, the eruption would be similar to the AD 1877 one (SubPlinian, VEI 3-4)?","Compte tenu de l'état actuel du volcan Cotopaxi et de votre connaissance de son histoire éruptive passée, quelle probabilité attribuez-vous à la possibilité qu'au Cotopaxi, en cas où le magma impliqué pour la prochaine éruption soit entièrement ou principalement andésitique, l'éruption soit similaire à celle de 1877 (sub-plinienne, VEI 3-4)?","Considerato lo stato attuale del vulcano Cotopaxi e la vostra conoscenza della sua storia eruttiva passata, quale probabilità assegnate alla possibilità che al Cotopaxi, nel caso la prossima eruzione coinvolga interamente o predominantemente magma andesitico, l’eruzione sia simile a quella del 1877 (SubPliniana, VEI 3-4)?",%,uni,0,100,,target,6,10,100.0,2,
9,9,"Next eruption, andesitic magma, Plinian eruption","Given the present state of Cotopaxi volcano and your knowledge of its past eruptive chronology, how much probability do you assign to the possibility that at Cotopaxi, in case that the next eruption would involve totally or predominantly andesitic magma, the eruption would be similar to the Layers 3/5 ones (Plinian, VEI 4-5)?","Compte tenu de l'état actuel du volcan Cotopaxi et de votre connaissance de son histoire éruptive passée, quelle probabilité attribuez-vous à la possibilité qu'au Cotopaxi, en cas où le magma impliqué pour la prochaine éruption soit entièrement ou principalement andésitique, l'éruption soit similaire à celles du Layers 3/5 (Pliniennes, VEI 4-5)?","Considerato lo stato attuale del vulcano Cotopaxi e la vostra conoscenza della sua storia eruttiva passata, quale probabilità assegnate alla possibilità che al Cotopaxi, nel caso la prossima eruzione coinvolga interamente o predominantemente magma andesitico, l’eruzione sia simile a quelle dei Layers 3/5 (Pliniane, VEI 4-5)?",%,uni,0,100,,target,6,10,100.0,2,
10,10,"Next eruption, andesitic magma, other eruption type","Given the present state of Cotopaxi volcano and your knowledge of its past eruptive chronology, how much probability do you assign to the possibility that at Cotopaxi, in case that the next eruption would involve totally or predominantly andesitic magma, the eruption would be of different type with respect to the previous ones?","Compte tenu de l'état actuel du volcan Cotopaxi et de votre connaissance de son histoire éruptive passée, quelle probabilité attribuez-vous à la possibilité qu'au Cotopaxi, en cas où le magma impliqué pour la prochaine éruption soit entièrement ou principalement andésitique, l'éruption soit d'une typologie différent des précédentes?","Considerato lo stato attuale del vulcano Cotopaxi e la vostra conoscenza della sua storia eruttiva passata, quale probabilità assegnate alla possibilità che al Cotopaxi, nel caso la prossima eruzione coinvolga interamente o predominantemente magma andesitico, l’eruzione sia di una tipologia differente rispetto alle precedenti?",%,uni,0,100,,target,6,10,100.0,2,
11,11,"Next 100 years, rhyolitic magma","Given the present state of Cotopaxi volcano and your knowledge of its past eruptive chronology, how much probability do you assign to the possibility that, for the next 100 years at Cotopaxi, there will be at least 1 eruption involving magma totally or predominantly of rhyolitic composition?","Compte tenu de l'état actuel du volcan Cotopaxi et de votre connaissance de son histoire éruptive passée, quelle probabilité attribuez-vous à la possibilité que, pour les 100 prochaines années au Cotopaxi, il y ait au moins 1 éruption impliquant du magma entièrement ou principalement rhyolitique?","Considerato lo stato attuale del vulcano Cotopaxi e la vostra conoscenza della sua storia eruttiva passata, quale probabilità assegnate alla possibilità che, per i prossimi 100 anni al Cotopaxi, ci sia almeno 1 eruzione che coinvolga magma totalmente o predominantemente di composizione riolitica?",%,uni,0,100,,target,0,0,0,-1,next100_rhyo&and.png
12,12,"Next 100 years, andesitic magma","Given the present state of Cotopaxi volcano and your knowledge of its past eruptive chronology, how much probability do you assign to the possibility that, for the next 100 years at Cotopaxi, there will be at least 1 eruption involving magma totally or predominantly of andesitic composition?","Compte tenu de l'état actuel du volcan Cotopaxi et de votre connaissance de son histoire éruptive passée, quelle probabilité attribuez-vous à la possibilité que, pour les 100 prochaines années au Cotopaxi, il y ait au moins 1 éruption impliquant du magma entièrement ou principalement andésitique?","Considerato lo stato attuale del vulcano Cotopaxi e la vostra conoscenza della sua storia eruttiva passata, quale probabilità assegnate alla possibilità che, per i prossimi 100 anni al Cotopaxi, ci sia almeno 1 eruzione che coinvolga magma totalmente o predominantemente di composizione andesitica?",%,uni,0,100,,target,0,0,0,-1,
13,13,"Next 100 years, rhyolitic magma, SubPlinian eruption","Given the present state of Cotopaxi volcano and your knowledge of its past eruptive chronology, how much probability do you assign to the possibility that, for the next 100 years at Cotopaxi, in case totally or predominantly rhyolitic magma would be involved, there will be at least 1 SubPlinian eruption (VEI 3-4)?","Compte tenu de l'état actuel du volcan Cotopaxi et de votre connaissance de son histoire éruptive passée, quelle probabilité attribuez-vous à la possibilité que, pour les 100 prochaines années au Cotopaxi, en cas ou le magma impliqué soit entièrement ou principalement rhyolitique, il y ait au moins 1 éruption sub-Plinienne (VEI 3-4)?","Considerato lo stato attuale del vulcano Cotopaxi e la vostra conoscenza della sua storia eruttiva passata, quale probabilità assegnate alla possibilità che, per i prossimi 100 anni al Cotopaxi, in caso sia coinvolto magma totalmente o predominantemente riolitico ci sia almeno 1 eruzione SubPliniana (VEI 3-4)?",%,uni,0,100,,target,0,0,0,11,next100_rhyo_types.png
14,14,"Next 100 years, rhyolitic magma, Plinian eruption","Given the present state of Cotopaxi volcano and your knowledge of its past eruptive chronology, how much probability do you assign to the possibility that, for the next 100 years at Cotopaxi, in case totally or predominantly rhyolitic magma would be involved, there will be at least 1 eruption similar to the F-2/F-4 ones (Plinian, VEI 4-5)?","Compte tenu de l'état actuel du volcan Cotopaxi et de votre connaissance de son histoire éruptive passée, quelle probabilité attribuez-vous à la possibilité que, pour les 100 prochaines années au Cotopaxi, en cas ou le magma impliqué soit entièrement ou principalement rhyolitique, il y ait au moins 1 éruption similaire à celles F-2/F-4 (Pliniennes, VEI 4-5)?","Considerato lo stato attuale del vulcano Cotopaxi e la vostra conoscenza della sua storia eruttiva passata, quale probabilità assegnate alla possibilità che, per i prossimi 100 anni al Cotopaxi, in caso sia coinvolto magma totalmente o predominantemente riolitico ci sia almeno 1 eruzione simile alle F-2/F-4 (Pliniane, VEI 4-5)?",%,uni,0,100,,target,0,0,0,11,
15,15,"Next 100 years, rhyolitic magma, other eruption type","Given the present state of Cotopaxi volcano and your knowledge of its past eruptive chronology, how much probability do you assign to the possibility that, for the next 100 years at Cotopaxi, in case totally or predominantly rhyolitic magma would be involved, there will be at least 1 eruption of different type with respect to the previous ones?","Compte tenu de l'état actuel du volcan Cotopaxi et de votre connaissance de son histoire éruptive passée, quelle probabilité attribuez-vous à la possibilité que, pour les 100 prochaines années au Cotopaxi, en cas ou le magma impliqué soit entièrement ou principalement rhyolitique, il y ait au moins 1 éruption d'une typologie différent des précédentes?","Considerato lo stato attuale del vulcano Cotopaxi e la vostra conoscenza della sua storia eruttiva passata, quale probabilità assegnate alla possibilità che, per i prossimi 100 anni al Cotopaxi, in caso sia coinvolto magma totalmente o predominantemente riolitico ci sia almeno 1 eruzione di una tipologia differente rispetto alle precedenti?",%,uni,0,100,,target,0,0,0,11,
